topic,summary
edit distance,"In computational linguistics and computer science, edit distance is a string metric, i.e. a way of quantifying how dissimilar two strings (e.g., words) are to one another, that is measured by counting the minimum number of operations required to transform one string into the other. Edit distances find applications in natural language processing, where automatic spelling correction can determine candidate corrections for a misspelled word by selecting words from a dictionary that have a low distance to the word in question. In bioinformatics, it can be used to quantify the similarity of DNA sequences, which can be viewed as strings of the letters A, C, G and T.
Different definitions of an edit distance use different sets of string operations. Levenshtein distance operations are the removal, insertion, or substitution of a character in the string. Being the most common metric, the term Levenshtein distance is often used interchangeably with edit distance."
Edit distance,"In computational linguistics and computer science, edit distance is a string metric, i.e. a way of quantifying how dissimilar two strings (e.g., words) are to one another, that is measured by counting the minimum number of operations required to transform one string into the other. Edit distances find applications in natural language processing, where automatic spelling correction can determine candidate corrections for a misspelled word by selecting words from a dictionary that have a low distance to the word in question. In bioinformatics, it can be used to quantify the similarity of DNA sequences, which can be viewed as strings of the letters A, C, G and T.
Different definitions of an edit distance use different sets of string operations. Levenshtein distance operations are the removal, insertion, or substitution of a character in the string. Being the most common metric, the term Levenshtein distance is often used interchangeably with edit distance."
Graph edit distance,"In mathematics and computer science, graph edit distance (GED) is a measure of similarity (or dissimilarity) between two graphs.
The concept of graph edit distance was first formalized mathematically by Alberto Sanfeliu and King-Sun Fu in 1983.
A major application of graph edit distance is in inexact graph matching, such
as error-tolerant pattern recognition in machine learning.The graph edit distance between two graphs is related to the
string edit distance between strings.
With the interpretation of strings as 
connected, directed acyclic graphs of 
maximum degree one, classical definitions
of edit distance such as Levenshtein distance,Hamming distance
and Jaro–Winkler distance may be interpreted as graph edit distances
between suitably constrained graphs.  Likewise, graph edit distance is
also a generalization of tree edit distance between
rooted trees."
Levenshtein distance,"In information theory, linguistics, and computer science, the Levenshtein distance is a string metric for measuring the difference between two sequences. Informally, the Levenshtein distance between two words is the minimum number of single-character edits (insertions, deletions or substitutions) required to change one word into the other. It is named after the Soviet mathematician Vladimir Levenshtein, who considered this distance in 1965.Levenshtein distance may also be referred to as edit distance, although that term may also denote a larger family of distance metrics known collectively as edit distance.: 32  It is closely related to pairwise string alignments.

"
Damerau–Levenshtein distance,"In information theory and computer science, the Damerau–Levenshtein distance (named after Frederick J. Damerau and Vladimir I. Levenshtein) is a string metric for measuring the edit distance between two sequences. Informally, the Damerau–Levenshtein distance between two words is the minimum number of operations (consisting of insertions, deletions or substitutions of a single character, or transposition of two adjacent characters) required to change one word into the other.
The Damerau–Levenshtein distance differs from the classical Levenshtein distance by including transpositions among its allowable operations in addition to the three classical single-character edit operations (insertions, deletions and substitutions).In his seminal paper, Damerau stated that in an investigation of spelling errors for an information-retrieval system, more than 80% were a result of a single error of one of the four types. Damerau's paper considered only misspellings that could be corrected with at most one edit operation. While the original motivation was to measure distance between human misspellings to improve applications such as spell checkers, Damerau–Levenshtein distance has also seen uses in biology to measure the variation between protein sequences.

"
Distance,"Distance is a numerical or occasionally qualitative measurement of how far apart objects or points are. In physics or everyday usage, distance may refer to a physical length or an estimation based on other criteria (e.g. ""two counties over"").  Since spatial cognition is a rich source of conceptual metaphors in human thought, the term is also frequently used metaphorically to mean a measurement of the amount of difference between two similar objects (such as statistical distance between probability distributions or edit distance between strings of text) or a degree of separation (as exemplified by distance between people in a social network).  Most such notions of distance, both physical and metaphorical, are formalized in mathematics using the notion of a metric space.
In the social sciences, distance can refer to a qualitative measurement of separation, such as social distance or psychological distance."
Jaro–Winkler distance,"In computer science and statistics, the Jaro–Winkler distance is a string metric measuring an edit distance between two sequences. It is a variant proposed in 1990 by William E. Winkler of the Jaro distance metric (1989, Matthew A. Jaro).
The Jaro–Winkler distance uses a prefix scale 
  
    
      
        p
      
    
    {\displaystyle p}
   which gives more favourable ratings to strings that match from the beginning for a set prefix length 
  
    
      
        ℓ
      
    
    {\displaystyle \ell }
  .
The higher the Jaro–Winkler distance for two strings is, the less similar the strings are. The score is normalized such that 0 means an exact match and 1 means there is no similarity. The original paper actually defined the metric in terms of similarity, so the distance is defined as the inversion of that value (distance = 1 − similarity).
Although often referred to as a distance metric, the Jaro–Winkler distance is not a metric in the mathematical sense of that term because it does not obey the triangle inequality.

"
Wagner–Fischer algorithm,"In computer science, the Wagner–Fischer algorithm is a dynamic programming algorithm that computes the edit distance between two strings of characters."
Hamming distance,"In information theory, the Hamming distance between two strings of equal length is the number of positions at which the corresponding symbols are different. In other words, it measures the minimum number of substitutions required to change one string into the other, or the minimum number of errors that could have transformed one string into the other. In a more general context, the Hamming distance is one of several string metrics for measuring the edit distance between two sequences. It is named after the American mathematician Richard Hamming.
A major application is in coding theory, more specifically to block codes, in which the equal-length strings are vectors over a finite field."
Time Warp Edit Distance,"Time Warp Edit Distance (TWED) is a measure of similarity (or dissimilarity) for discrete time series matching with time 'elasticity'. In comparison to other distance measures, (e.g. DTW (dynamic time warping) or  LCS (longest common subsequence problem)), TWED is a metric. Its computational time complexity is 
  
    
      
        O
        (
        
          n
          
            2
          
        
        )
      
    
    {\displaystyle O(n^{2})}
  , but can be drastically reduced in some specific situations by using a corridor to reduce the search space. Its memory space complexity can be reduced to 
  
    
      
        O
        (
        n
        )
      
    
    {\displaystyle O(n)}
  . It was first proposed in 2009 by P.-F. Marteau."
Word error rate,"Word error rate (WER) is a common metric of the performance of a speech recognition or machine translation system.
The general difficulty of measuring performance lies in the fact that the recognized word sequence can have a different length from the reference word sequence (supposedly the correct one). The WER is derived from the Levenshtein distance, working at the word level instead of the phoneme level. The WER is a valuable tool for comparing different systems as well as for evaluating improvements within one system. This kind of measurement, however, provides no details on the nature of translation errors and further work is therefore required to identify the main source(s) of error and to focus any research effort.
This problem is solved by first aligning the recognized word sequence with the reference (spoken) word sequence using dynamic string alignment. Examination of this issue is seen through a theory called the power law that states the correlation between perplexity and word error rate.Word error rate can then be computed as:

  
    
      
        
          
            W
            E
            R
          
        
        =
        
          
            
              S
              +
              D
              +
              I
            
            N
          
        
        =
        
          
            
              S
              +
              D
              +
              I
            
            
              S
              +
              D
              +
              C
            
          
        
      
    
    {\displaystyle {\mathit {WER}}={\frac {S+D+I}{N}}={\frac {S+D+I}{S+D+C}}}
  where

S is the number of substitutions,
D is the number of deletions,
I is the number of insertions,
C is the number of correct words,
N is the number of words in the reference (N=S+D+C)The intuition behind 'deletion' and 'insertion' is how to get from the reference to the hypothesis. So if we have the reference ""This is wikipedia"" and hypothesis ""This _ wikipedia"", we call it a deletion.
When reporting the performance of a speech recognition system, sometimes word accuracy (WAcc) is used instead:

  
    
      
        
          
            W
            A
            c
            c
          
        
        =
        1
        −
        
          
            W
            E
            R
          
        
        =
        
          
            
              N
              −
              S
              −
              D
              −
              I
            
            N
          
        
        =
        
          
            
              C
              −
              I
            
            N
          
        
      
    
    {\displaystyle {\mathit {WAcc}}=1-{\mathit {WER}}={\frac {N-S-D-I}{N}}={\frac {C-I}{N}}}
  Note that since N is the number of words in the reference, the word error rate can be larger than 1.0, and thus, the word accuracy can be smaller than 0.0."
index construction,"The Russell 1000 Index is a stock market index that tracks the highest-ranking 1,000 stocks in the Russell 3000 Index, which represent about 93% of the total market capitalization of that index. As of 31 December 2021, the stocks of the Russell 1000 Index had a weighted average market capitalization of $608.1 billion and a median market capitalization of $15.1 billion. As of 8 May 2020, components ranged in market capitalization from $1.8 billion to $1.4 trillion. The index, which was launched on January 1, 1984, is maintained by FTSE Russell, a subsidiary of the London Stock Exchange Group.
The ticker symbol is ^RUI. There are several exchange-traded funds and mutual funds that track the index."
Construction,"Construction is a general term meaning the art and science to form objects, systems, or organizations, and comes from Latin constructio (from com- ""together"" and struere ""to pile up"") and Old French construction. To construct is the verb: the act of building, and the noun is construction: how something is built, the nature of its structure.
In its most widely used context, construction covers the processes involved in delivering buildings, infrastructure, industrial facilities and associated activities through to the end of their life. It typically starts with planning, financing, and design, and continues until the asset is built and ready for use; construction also covers repairs and maintenance work, any works to expand, extend and improve the asset, and its eventual demolition, dismantling or decommissioning.
The construction industry contributes significantly to many countries’ gross domestic products (GDP). Global expenditure on construction activities was about $4 trillion in 2012. Today, expenditure on the construction industry exceeds $11 trillion a year, equivalent to about 13 percent of global GDP. This spending was forecast to rise to around $14.8 trillion in 2030.Although the construction industry promotes economic development and brings many non-monetary benefits to many countries, it is one of the most hazardous industries. For example, about 20% (1,061) of US industry fatalities in 2019 happened in construction."
dynamic indexing,"Search engine indexing is the collecting, parsing, and storing of data to facilitate fast and accurate information retrieval. Index design incorporates interdisciplinary concepts from linguistics, cognitive psychology, mathematics, informatics, and computer science. An alternate name for the process, in the context of search engines designed to find web pages on the Internet, is web indexing.
Popular engines focus on the full-text indexing of online, natural language documents. Media types such as pictures, video, audio, and graphics are also searchable.
Meta search engines reuse the indices of other services and do not store a local index whereas cache-based search engines permanently store the index along with the corpus. Unlike full-text indices, partial-text services restrict the depth indexed to reduce index size. Larger services typically perform indexing at a predetermined time interval due to the required time and processing costs, while agent-based search engines index in real time.

"
Search engine indexing,"Search engine indexing is the collecting, parsing, and storing of data to facilitate fast and accurate information retrieval. Index design incorporates interdisciplinary concepts from linguistics, cognitive psychology, mathematics, informatics, and computer science. An alternate name for the process, in the context of search engines designed to find web pages on the Internet, is web indexing.
Popular engines focus on the full-text indexing of online, natural language documents. Media types such as pictures, video, audio, and graphics are also searchable.
Meta search engines reuse the indices of other services and do not store a local index whereas cache-based search engines permanently store the index along with the corpus. Unlike full-text indices, partial-text services restrict the depth indexed to reduce index size. Larger services typically perform indexing at a predetermined time interval due to the required time and processing costs, while agent-based search engines index in real time.

"
Web server directory index,"When an HTTP client (generally a web browser) requests a URL that points to a directory structure instead of an actual web page within the directory structure, the web server will generally serve a default page, which is often referred to as a main or ""index"" page.
A common filename for such a page is index.html, but most modern HTTP servers offer a configurable list of filenames that the server can use as an index. If a server is configured to support server-side scripting, the list will usually include entries allowing dynamic content to be used as the index page (e.g. index.cgi, index.pl, index.php, index.shtml, index.jsp, default.asp) even though it may be more appropriate to still specify the HTML output (index.html.php or index.html.aspx), as this should not be taken for granted. An example is the popular open source web server Apache, where the list of filenames is controlled by the DirectoryIndex directive in the main server configuration file or in the configuration file for that directory. It is possible to not use file extensions at all, and be neutral to content delivery methods, and set the server to automatically pick the best file through content negotiation.
If the server is unable to find a file with any of the names listed in its configuration, it may either return an error (usually 403 Index Listing Forbidden or 404 Not Found) or generate its own index page listing the files in the directory. Usually this option, often named autoindex, is also configurable."
Dynamic web page,"A server-side dynamic web page is a web page whose construction is controlled by an application server processing server-side scripts. In server-side scripting, parameters determine how the assembly of every new web page proceeds, and including the setting up of more client-side processing.
A client-side dynamic web page processes the web page using JavaScript running in the browser as it loads. JavaScript can interact with the page via Document Object Model, or DOM, to query page state and modify it. Even though a web page can be dynamic on the client-side, it can still be hosted on a static hosting service such as GitHub Pages or Amazon S3 as long as there isn't any server-side code included.
A dynamic web page is then reloaded by the user or by a computer program to change some variable content. The updating information could come from the server, or from changes made to that page's DOM. This may or may not truncate the browsing history or create a saved version to go back to, but a dynamic web page update using AJAX technologies will neither create a page to go back to, nor truncate the web browsing history forward of the displayed page. Using AJAX, the end user gets one dynamic page managed as a single page in the web browser while the actual web content rendered on that page can vary. The AJAX engine sits only on the browser requesting parts of its DOM, the DOM, for its client, from an application server. A particular application server could offer a standardized REST style interface to offer services to the web application.DHTML is the umbrella term for technologies and methods used to create web pages that are not static web pages, though it has fallen out of common use since the popularization of AJAX, a term which is now itself rarely used. Client-side-scripting, server-side scripting, or a combination of these make for the dynamic web experience in a browser.

"
Dynamic array,"In computer science, a dynamic array, growable array, resizable array, dynamic table, mutable array, or array list is a random access, variable-size list data structure that allows elements to be added or removed. It is supplied with standard libraries in many modern mainstream programming languages. Dynamic arrays overcome a limit of static arrays, which have a fixed capacity that needs to be specified at allocation.
A dynamic array is not the same thing as a dynamically allocated array or variable-length array, either of which is an array whose size is fixed when the array is allocated, although a dynamic array may use such a fixed-size array as a back end."
Dynamic programming,"Dynamic programming is both a mathematical optimization method and a computer programming method. The method was developed by Richard Bellman in the 1950s and has found applications in numerous fields, from aerospace engineering to economics.
In both contexts it refers to simplifying a complicated problem by breaking it down into simpler sub-problems in a recursive manner. While some decision problems cannot be taken apart this way, decisions that span several points in time do often break apart recursively. Likewise, in computer science, if a problem can be solved optimally by breaking it into sub-problems and then recursively finding the optimal solutions to the sub-problems, then it is said to have optimal substructure.
If sub-problems can be nested recursively inside larger problems, so that dynamic programming methods are applicable, then there is a relation between the value of the larger problem and the values of the sub-problems. In the optimization literature this relationship is called the Bellman equation.

"
Array (data type),"In computer science, array is a data type that represents a collection of elements (values or variables), each selected by one or more indices (identifying keys) that can be computed at run time during program execution.  Such a collection is usually called an array variable or array value.  By analogy with the mathematical concepts vector and matrix, array types with one and two indices are often called vector type and matrix type, respectively. More generally, a multidimensional array type can be called a tensor type, by anology with the physical concept, tensor.Language support for array types may include certain built-in array data types, some syntactic constructions (array type constructors) that the programmer may use to define such types and declare array variables, and special notation for indexing array elements.  For example, in the Pascal programming language, the declaration type MyTable = array [1..4,1..2] of integer, defines a new array data type called MyTable. The declaration var A: MyTable then defines a variable A of that type, which is an aggregate of eight elements, each being an integer variable identified by two indices. In the Pascal program, those elements are denoted A[1,1], A[1,2], A[2,1], …, A[4,2].  Special array types are often defined by the language's standard libraries.
Dynamic lists are also more common and easier to implement than dynamic arrays. Array types are distinguished from record types mainly because they allow the element indices to be computed at run time, as in the Pascal assignment A[I,J] := A[N-I,2*J].  Among other things, this feature allows a single iterative statement to process arbitrarily many elements of an array variable.
In more theoretical contexts, especially in type theory and in the description of abstract algorithms, the terms ""array"" and ""array type"" sometimes refer to an abstract data type (ADT) also called abstract array or may refer to an associative array, a mathematical model with the basic operations and behavior of a typical array type in most languages — basically, a collection of elements that are selected by indices computed at run-time.
Depending on the language, array types may overlap (or be identified with) other data types that describe aggregates of values, such as lists and strings.  Array types are often implemented by array data structures, but sometimes by other means, such as hash tables, linked lists, or search trees."
Dynamic time warping,"In time series analysis, dynamic time warping (DTW) is an algorithm for measuring similarity between two temporal sequences, which may vary in speed.  For instance, similarities in walking could be detected using DTW, even if one person was walking faster than the other, or if there were accelerations and decelerations during the course of an observation. DTW has been applied to temporal sequences of video, audio, and graphics data — indeed, any data that can be turned into a linear sequence can be analyzed with DTW. A well-known application has been automatic speech recognition, to cope with different speaking speeds. Other applications include speaker recognition and online signature recognition. It can also be used in partial shape matching applications.
In general, DTW is a method that calculates an optimal match between two given sequences (e.g. time series) with certain restriction and rules:

Every index from the first sequence must be matched with one or more indices from the other sequence, and vice versa
The first index from the first sequence must be matched with the first index from the other sequence (but it does not have to be its only match)
The last index from the first sequence must be matched with the last index from the other sequence (but it does not have to be its only match)
The mapping of the indices from the first sequence to indices from the other sequence must be monotonically increasing, and vice versa, i.e. if 
  
    
      
        j
        >
        i
      
    
    {\displaystyle j>i}
   are indices from the first sequence, then there must not be two indices 
  
    
      
        l
        >
        k
      
    
    {\displaystyle l>k}
   in the other sequence, such that index 
  
    
      
        i
      
    
    {\displaystyle i}
   is matched with index 
  
    
      
        l
      
    
    {\displaystyle l}
   and index 
  
    
      
        j
      
    
    {\displaystyle j}
   is matched with index 
  
    
      
        k
      
    
    {\displaystyle k}
  , and vice versaThe optimal match is denoted by the match that satisfies all the restrictions and the rules and that has the minimal cost, where the cost is computed as the sum of absolute differences, for each matched pair of indices, between their values.
The sequences are ""warped"" non-linearly in the time dimension to determine a measure of their similarity independent of certain non-linear variations in the time dimension. This sequence alignment method is often used in time series classification. Although DTW measures a distance-like quantity between two given sequences, it doesn't guarantee the triangle inequality to hold.
In addition to a similarity measure between the two sequences, a so called ""warping path"" is produced, by warping according to this path the two signals may be aligned in time. The signal with an original set of points X(original), Y(original) is transformed to X(warped), Y(warped). This finds applications in genetic sequence and audio synchronisation. In a related technique sequences of varying speed may be averaged using this technique see the average sequence section.
This is conceptually very similar to the Needleman–Wunsch algorithm."
Array (data structure),"In computer science, an array is a data structure consisting of a collection of elements (values or variables), each identified by at least one array index or key. An array is stored such that the position of each element can be computed from its index tuple by a mathematical formula. The simplest type of data structure is a linear array, also called one-dimensional array.
For example, an array of ten 32-bit (4-byte) integer variables, with indices 0 through 9, may be stored as ten words at memory addresses 2000, 2004, 2008, ..., 2036, (in hexadecimal: 0x7D0, 0x7D4, 0x7D8, ..., 0x7F4) so that the element with index i has the address 2000 + (i × 4).
The memory address of the first element of an array is called first address, foundation address, or base address.
Because the mathematical concept of a matrix can be represented as a two-dimensional grid, two-dimensional arrays are also sometimes called ""matrices"". In some cases the term ""vector"" is used in computing to refer to an array, although tuples rather than vectors are the more mathematically correct equivalent. Tables are often implemented in the form of arrays, especially lookup tables; the word ""table"" is sometimes used as a synonym of array.
Arrays are among the oldest and most important data structures, and are used by almost every program. They are also used to implement many other data structures, such as lists and strings. They effectively exploit the addressing logic of computers. In most modern computers and many external storage devices, the memory is a one-dimensional array of words, whose indices are their addresses. Processors, especially vector processors, are often optimized for array operations.
Arrays are useful mostly because the element indices can be computed at run time. Among other things, this feature allows a single iterative statement to process arbitrarily many elements of an array. For that reason, the elements of an array data structure are required to have the same size and should use the same data representation. The set of valid index tuples and the addresses of the elements (and hence the element addressing formula) are usually, but not always, fixed while the array is in use.
The term ""array"" may also refer to an array data type, a kind of data type provided by most high-level programming languages that consists of a collection of values or variables that can be selected by one or more indices computed at run-time. Array types are often implemented by array structures; however, in some languages they may be implemented by hash tables, linked lists, search trees, or other data structures.
The term is also used, especially in the description of algorithms, to mean associative array or ""abstract array"", a theoretical computer science model (an abstract data type or ADT) intended to capture the essential properties of arrays."
Enhanced indexing,"In finance, enhanced indexing is any indexing strategy employed with the intention of outperforming strict indexing. Enhanced indexing attempts to generate modest excess returns compared to traditional index funds and other passive management techniques."
Dynamic response index,"The Dynamic Response Index (DRI) is a measure of the likelihood of spinal damage arising from a vertical shock load such as might be encountered in a military environment (i.e., during a mine blast, or in an ejection seat).  The DRI is a dimensionless number which is proportional to the maximum spinal compression suffered during the event.
The DRI is derived as the solution to an equation which models the human spine as a lumped single-degree-of-freedom spring-shock absorber system.  The model uses an ordinary linear second-order differential equation with constant coefficients with spinal compression as the variable.  The forcing function in the equation is the accelerative shock load delivered to the pelvis by the event.  The equation is given below:
  
    
      
        
          
            
              
                d
                
                  2
                
              
              X
            
            
              d
              
                t
                
                  2
                
              
            
          
        
        +
        2
        ⋅
        ζ
        ⋅
        ω
        ⋅
        
          
            
              d
              X
            
            
              d
              t
            
          
        
        +
        
          ω
          
            2
          
        
        ⋅
        X
        =
        
          
            
              
                d
                
                  2
                
              
              z
            
            
              d
              
                t
                
                  2
                
              
            
          
        
      
    
    {\displaystyle {d^{2}X \over dt^{2}}+2\cdot \zeta \cdot \omega \cdot {dX \over dt}+\omega ^{2}\cdot X={d^{2}z \over dt^{2}}}
  
In this equation, X denotes the spinal compression, and d2z/dt2 denotes the time-dependent shock acceleration (the input).  The coefficients ω and ζ  are the lumped spinal frequency and damping, ω = 52.90 radians/second, ζ = 0.224.
The DRI is defined in terms of the maximum spinal compression (Xmax) calculated from the differential equation, DRI = (ω2/G)·Xmax, where G is the acceleration of gravity (9.806 m/s2).
The DRI measure was derived from research on cadavers, as well as from “willing volunteers” (essentially, aviators who activated the ejection seat mechanism).The limiting DRI value according to NATO STANAG 4569 is 17.7 with a 10% chance of serious injury.  This corresponds to a maximum spinal compression of about 62 mm.
A simple rule of thumb for short duration shocks (much less than about a quarter of a cycle, which means much less than about 30 ms) is DRI = 3.96·ΔV, where ΔV is the total impulse delivered by the shock in units of meters per second.  ΔV is simply the integral under the shock acceleration curve, equivalent to the “liftoff” velocity of the object undergoing shock loading.  For a constant impulse, the DRI decreases as the duration of the pulse increases beyond about 30 ms."
document collection,"An archive is an accumulation of historical records or materials – in any medium – or the physical facility in which they are located.Archives contain primary source documents that have accumulated over the course of an individual or organization's lifetime, and are kept to show the function of that person or organization. Professional archivists and historians generally understand archives to be records that have been naturally and necessarily generated as a product of regular legal, commercial, administrative, or social activities. They have been metaphorically defined as ""the secretions of an organism"", and are distinguished from documents that have been consciously written or created to communicate a particular message to posterity.
In general, archives consist of records that have been selected for permanent or long-term preservation on grounds of their enduring cultural, historical, or evidentiary value. Archival records are normally unpublished and almost always unique, unlike books or magazines of which many identical copies may exist. This means that archives are quite distinct from libraries with regard to their functions and organization, although archival collections can often be found within library buildings.A person who works in archives is called an archivist. The study and practice of organizing, preserving, and providing access to information and materials in archives is called archival science. The physical place of storage can be referred to as an archive (more usual in the United Kingdom), an archives (more usual in the United States), or a repository.The computing use of the term ""archive"" should not be confused with the record-keeping meaning of the term."
Archive,"An archive is an accumulation of historical records or materials – in any medium – or the physical facility in which they are located.Archives contain primary source documents that have accumulated over the course of an individual or organization's lifetime, and are kept to show the function of that person or organization. Professional archivists and historians generally understand archives to be records that have been naturally and necessarily generated as a product of regular legal, commercial, administrative, or social activities. They have been metaphorically defined as ""the secretions of an organism"", and are distinguished from documents that have been consciously written or created to communicate a particular message to posterity.
In general, archives consist of records that have been selected for permanent or long-term preservation on grounds of their enduring cultural, historical, or evidentiary value. Archival records are normally unpublished and almost always unique, unlike books or magazines of which many identical copies may exist. This means that archives are quite distinct from libraries with regard to their functions and organization, although archival collections can often be found within library buildings.A person who works in archives is called an archivist. The study and practice of organizing, preserving, and providing access to information and materials in archives is called archival science. The physical place of storage can be referred to as an archive (more usual in the United Kingdom), an archives (more usual in the United States), or a repository.The computing use of the term ""archive"" should not be confused with the record-keeping meaning of the term."
